Tätigkeit,Einsatzplätze,Einsatzbetriebe
Katastrophen und Notlagen,48,11
Entwicklungszusammenarbeit,199,46
Schulwesen,1750,567
Landwirtschaft,951,830
Umwelt- und Naturschutz,1685,346
Kulturgütererhaltung,551,208
Sozialwesen,8344,2029
Gesundheitswesen,2242,227
