Label,Value
Kommunikation und Betreuung,259
Pflegehilfe,39
Betreuung von Menschen mit einer Beeinträchtigung,88
Betreuung von betagten Menschen,95
Betreuung von Kindern,144
Betreuung von Jugendlichen,78
Umwelt- und Naturschutz,34
Umgang mit der Motorsäge,65
Sicherheit im Auslandeinsatz,4
Alp-Pflege,5
