Key,Label,Value,Percent
sozialwesen,Social,952491,50.4
schulwesen,Instruction publique,342246,18.1
gesundheitswesen,Santé,280226,14.8
umwelt,Protection de la nature et de l’environnement,181185,9.6
kulturguter,Conservation des biens culturels,68699,3.6
landwirtschaft,Agriculture,50745,2.7
entwicklung,Coopération au développement,12278,0.6
katastrophen,Aide en cas de catastrophes et situations d’urgence,3868,0.2
