Label,Value
Communication et accompagnement,259
Soins,39
Assistance aux personnes ayant un handicap,88
Assistance aux personnes âgées,95
Encadrement des enfants,144
Encadrement d’adolescents,78
Protection de la nature et de l’environnement,34
Maniement de la tronçonneuse,65
Sécurité lors d’affectations à l’étranger,4
Entretien des alpages,5
