Tätigkeit,Einsatzplätze,Einsatzbetriebe
Aiuto in caso di catastrofe e di situazioni d'emergenza,48,11
Cooperazione per lo sviluppo,199,46
Scuola,1750,567
Agricoltura,951,830
Protezione dell'ambiente e della natura,1685,346
Conservazione dei beni culturali,551,208
Servizi sociali,8344,2029
Sanità,2242,227
