Key,Label,Value,Percent
sozialwesen,Sozialwesen,952491,50.4
schulwesen,Schulwesen,342246,18.1
gesundheitswesen,Gesundheitswesen,280226,14.8
umwelt,Umwelt- und Naturschutz,181185,9.6
kulturguter,Kulturgütererhaltung,68699,3.6
landwirtschaft,Landwirtschaft,50745,2.7
entwicklung,Entwicklungszusammenarbeit,12278,0.6
katastrophen,Katastrophen und Notlagen,3868,0.2
